student_id,lms_logins_per_semester,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,GPA,pass_fail
S001,32,33,0.7,8,0.74,2.42,0
S002,29,53,0.91,13,0.85,3.73,1
S003,34,69,0.58,18,0.99,2.8,1
S004,22,18,0.91,6,0.72,2.59,1
S005,9,11,0.77,15,0.76,2.3,0
S006,18,65,0.61,19,0.76,2.53,1
S007,27,39,0.7,4,0.77,2.04,0
S008,22,31,0.99,9,0.76,3.17,1
S009,3,84,0.89,17,0.5,3.68,1
S010,19,22,0.79,10,0.5,3.1,1
S011,18,80,0.56,6,0.55,2.44,0
S012,26,25,0.71,13,0.55,2.07,0
S013,33,54,0.63,19,0.85,2.43,0
S014,3,74,0.54,17,0.6,2.83,1
S015,37,20,0.77,10,0.95,3.52,1
S016,6,79,0.94,11,0.96,2.38,0
S017,6,29,0.84,17,0.99,3.44,1
S018,25,72,0.62,1,0.97,3.73,1
S019,25,21,0.79,0,0.64,2.91,1
S020,18,71,0.97,9,0.75,3.64,1
S021,8,51,0.86,0,0.59,3.11,1
S022,19,78,0.84,5,0.9,3.27,1
S023,15,67,0.98,6,0.94,3.05,1
S024,16,14,0.9,16,0.93,2.93,1
S025,21,36,0.57,8,0.72,2.47,0
S026,12,37,0.67,6,0.88,2.61,1
S027,11,35,0.98,16,0.55,2.58,1
S028,9,58,0.74,2,0.52,3.13,1
S029,0,30,0.56,15,0.88,2.24,0
S030,31,10,0.73,4,0.71,3.83,1
S031,29,67,0.85,19,1.0,3.44,1
S032,7,88,1.0,17,0.55,2.8,1
S033,20,64,0.66,0,0.93,2.32,0
S034,21,35,0.76,3,0.74,3.76,1
S035,17,34,0.94,10,0.91,3.65,1
S036,1,86,0.68,19,0.91,3.44,1
S037,8,42,0.55,8,0.96,2.54,1
S038,2,81,0.97,7,0.65,2.8,1
S039,25,78,0.74,7,0.97,2.21,0
S040,20,15,0.75,4,0.58,2.38,0
S041,29,32,0.81,11,0.54,3.57,1
S042,27,39,0.5,0,0.72,3.43,1
S043,35,87,0.97,14,0.91,3.19,1
S044,25,63,0.68,17,0.74,3.79,1
S045,33,20,0.7,5,0.91,3.17,1
S046,7,40,0.59,9,0.86,2.93,1
S047,9,15,0.69,13,0.6,2.68,1
S048,13,20,0.9,7,0.97,3.88,1
S049,39,86,0.9,2,0.53,2.17,0
S050,14,21,0.97,18,0.95,3.86,1
S051,16,75,0.7,11,0.65,3.65,1
S052,17,62,0.85,11,0.75,2.26,0
S053,31,45,0.75,14,0.71,3.13,1
S054,37,26,0.9,6,0.59,3.73,1
S055,22,37,0.86,3,0.68,3.14,1
S056,22,31,0.68,8,0.6,3.81,1
S057,34,16,0.67,15,0.6,3.89,1
S058,38,24,0.63,12,0.59,2.84,1
S059,14,20,0.79,3,0.74,2.75,1
S060,23,33,0.98,8,0.9,3.87,1
S061,27,76,0.6,17,0.78,3.35,1
S062,15,39,0.55,14,0.95,2.23,0
S063,15,79,0.56,14,0.82,2.08,0
S064,39,75,0.89,5,0.84,3.13,1
S065,38,70,0.68,10,0.83,3.86,1
S066,5,87,0.61,7,0.72,3.69,1
S067,1,50,0.68,16,0.84,3.35,1
S068,12,60,0.82,16,0.53,2.28,0
S069,8,53,0.77,17,0.93,2.51,1
S070,33,22,0.87,3,0.89,3.75,1
S071,16,21,0.67,14,0.62,2.37,0
S072,26,18,0.73,1,0.88,2.56,1
S073,28,57,0.55,1,0.51,2.26,0
S074,36,58,0.54,9,0.61,3.35,1
S075,21,62,0.73,2,0.53,3.89,1
S076,23,65,0.65,7,0.89,2.54,1
S077,6,49,0.81,19,0.88,2.95,1
S078,33,33,0.52,6,0.91,3.27,1
S079,11,81,0.56,11,0.5,4.0,1
S080,22,42,0.93,18,0.75,2.21,0
S081,14,32,0.78,14,0.85,3.0,1
S082,32,86,0.86,13,0.58,2.77,1
S083,12,63,0.92,15,0.82,3.73,1
S084,22,62,0.73,13,0.54,2.95,1
S085,37,58,0.88,2,0.59,2.22,0
S086,31,87,0.76,17,0.74,3.27,1
S087,34,87,0.61,5,0.83,3.54,1
S088,0,89,0.67,16,0.57,2.01,0
S089,4,58,0.75,13,0.59,3.72,1
S090,12,69,0.66,13,0.6,2.37,0
S091,4,74,0.67,19,0.62,3.1,1
S092,31,41,0.67,12,0.61,2.83,1
S093,20,88,0.56,2,0.7,3.44,1
S094,23,30,0.54,12,0.83,2.74,1
S095,17,27,0.52,1,0.72,3.74,1
S096,20,69,0.56,8,0.89,3.46,1
S097,9,22,0.67,12,0.86,3.3,1
S098,23,33,0.8,7,0.56,3.59,1
S099,39,39,0.59,15,0.52,3.51,1
S100,20,11,0.94,2,0.94,2.07,0
S101,24,34,0.9,12,0.54,2.79,1
S102,22,59,0.76,3,0.57,3.86,1
S103,21,23,0.86,17,0.51,2.25,0
S104,3,15,0.68,1,0.81,3.47,1
S105,33,85,0.52,19,0.79,3.95,1
S106,5,39,0.95,14,0.99,2.1,0
S107,27,39,0.56,16,0.94,3.36,1
S108,30,47,0.97,9,0.71,2.94,1
S109,34,67,0.79,0,0.69,3.16,1
S110,38,50,0.65,5,0.65,2.17,0
S111,22,66,0.75,2,0.58,2.09,0
S112,5,45,0.75,18,0.57,3.33,1
S113,15,73,0.51,6,0.57,3.65,1
S114,1,25,0.68,12,0.56,3.56,1
S115,23,87,0.87,12,0.62,3.09,1
S116,16,81,0.76,16,0.65,2.2,0
S117,0,23,0.62,0,0.98,3.38,1
S118,5,40,0.67,13,0.79,2.48,0
S119,4,75,0.93,2,0.99,3.82,1
S120,28,77,0.76,13,0.69,3.68,1
S121,11,74,0.76,0,0.73,3.42,1
S122,38,64,0.98,15,0.66,3.9,1
S123,2,87,0.66,9,0.59,2.06,0
S124,0,49,0.74,12,0.57,3.47,1
S125,26,34,0.91,3,0.97,2.66,1
S126,23,34,0.88,8,0.99,3.81,1
S127,18,12,0.63,13,0.52,2.53,1
S128,7,78,0.58,3,0.58,3.45,1
S129,1,35,0.85,9,0.71,3.76,1
S130,29,49,0.63,7,0.59,2.08,0
S131,29,47,0.96,2,0.68,2.8,1
S132,38,47,0.56,6,0.56,3.52,1
S133,31,77,0.66,9,0.73,2.91,1
S134,0,16,0.53,2,0.64,2.53,1
S135,37,39,0.85,1,0.68,2.44,0
S136,12,28,0.95,14,0.55,2.26,0
S137,10,44,0.82,8,0.71,3.71,1
S138,9,42,0.97,14,0.99,3.15,1
S139,25,42,0.56,16,0.66,2.15,0
S140,19,87,0.54,6,0.94,2.77,1
S141,16,47,0.92,19,0.92,2.74,1
S142,16,19,0.93,17,0.98,2.36,0
S143,3,66,0.92,14,0.9,2.87,1
S144,4,37,0.9,17,0.83,2.66,1
S145,22,87,0.68,11,0.93,2.68,1
S146,9,47,0.61,7,0.54,3.48,1
S147,27,25,0.96,1,0.73,2.45,0
S148,32,30,0.65,1,0.99,3.28,1
S149,25,15,0.7,4,0.88,3.14,1
S150,28,50,0.85,0,0.98,3.14,1
S151,26,24,0.65,3,0.89,3.33,1
S152,17,12,0.91,5,0.94,3.1,1
S153,39,52,0.54,12,0.85,3.76,1
S154,9,56,0.9,18,0.88,3.35,1
S155,4,23,0.8,10,0.76,3.09,1
S156,9,75,0.79,12,0.96,3.66,1
S157,20,38,0.73,7,0.91,3.21,1
S158,23,13,0.64,6,0.92,2.58,1
S159,37,35,0.73,12,0.84,2.41,0
S160,2,21,0.73,0,0.65,2.3,0
S161,39,11,0.79,5,0.52,3.8,1
S162,30,26,0.64,6,0.97,3.42,1
S163,36,44,0.54,15,0.79,3.87,1
